sample_id,caption_a,caption_b,expected,winner_source,image_description,image_uncanny_description
f5c821a0a7cd8e8e0006e23263f284d2,Hostile takeovers ain’t what they used to be.,It's amazing what people will do for a tax break.,A,official_winner,There are two men on a horse. They are wearing soldier outfits. Businessmen follow behind them.,There are businessmen following a two guys on horses who are soldiers.
557c88155a0b7f65657c7ca6e21912f8,Why not? We defy every other law.,"Well, you wanted to work remotely.",A,official_winner,"Workers are having a meeting in mid air, downtown city. They are staying in mid air as every building around them is visible.",People need structure and support in order to stay that high up with gravity.
e9cd281d1fd1297985e3cc7a033aafa8,It comes with sub-par schools but a world-class trauma center.,"If we time it right, I can get you in this house today.",B,crowd_winner,Three people are talking near a windmill. There is a huge hole in the ground. This looks to be a huge miniature golf course.,The tiny people are on a huge miniature golf course.
099873b0df96d97b0f5049be092078fa,Do I detect some reluctance to discuss the divorce?,I think I like the French maid outfit better.,B,crowd_winner,A woman is wearing a hazmat suit while cooking. A man is drinking wine in the kitchen near her.,The woman is wearing a hazmat suit in the kitchen while cooking. This is overkill.
d5ad4c09171c14d566f93fb0f0c771b4,"No, sir, this is Fenway. You're looking for Jurassic Park.","I always strike out, but not in the way you think.",A,crowd_winner,A caveman with a large club is facing an umpire on a baseball field. The caveman and umpire is on the batter base but the caveman is facing the wrong way.,A caveman is not a player in the game of baseball. Usually the batter is.
87cdf7417865379004b0148e49af50cf,You're ALWAYS cold!,Want to trade?,A,official_winner,Two people are riding motorcycles. The man is naked and looks angry at the woman.,There is a naked man on a motorbike.
49111b2d8b50a76732731e778225347e,They were never going to find you anyway,I thought you could use a little company.,A,crowd_winner,A whale is beached on a small island. He has crushed a man and a tree beneath him.,The whale doesn't fit on the island.
1ec71ff0bd2355a307f866338210c73a,Another executive order?,We had meth on Tuesday.,B,official_winner,A man and a woman are in the kitchen together. The man is holding a glass and having a drink. The woman is in some sort of hazmat suit while cooking on the stove.,The wife is wearing a protective suit while cooking.
e2d0868cb6fb7347b285d63c57db67ed,"Iím pretty sure when He said to tell all your followers, He meant on Twitter.",They ignored your first ten. What makes you think you'll do any better with these?,B,official_winner,Moses and a woman are lying in bed. Moses is making a mess chiseling a tablet.,Moses is out of place in a modern setting.
07c016f5383fcb2fb5e2d4beca29677f,It made so much sense four years ago.,"This is my first mirage à trois, too.",B,official_winner,A woman in parade attire marches through the desert.  Crawling behind her are two ragged-looking men,It's unusual to see three people parading through a desert
67e4afc8fff3390c830496bb297e6554,Been with that other woman again?,I guess it really did kill you to call.,B,official_winner,A woman is standing in front of an open door in her bathrobe. A man is being escorted in by tiny angels. His hands seem to be emitting flames.,"The man is floating, and has tiny angels around him. If he's dead, he shouldn't be visible."
