sample_id,meta,joke_a_text,joke_b_text,expected,winner_source,image_description,image_uncanny_description
e4e0c825a3e71537e46613d836f40ac1,NYCC train e4e0c825a3e71537e46613d836f40ac1,That's not what I meant by a leap of faith...,"Can't stop now, i'm virtually there.",Joke B,crowd_winner,A man in climbing gear is climbing nothing but air as another man watches on. There is nothing in the back ground or on the ground.,It is impossible to climb onto nothing.
50897d7a4750555d13350f46551c44a5,NYCC train 50897d7a4750555d13350f46551c44a5,"This is going to be a hard case to crack, they all refuse to open up.","We're pretty sure it was an inside inside inside inside inside job, detective.",Joke B,crowd_winner,"There is a woman wearing a badge, with her arms at her side, and an irritated expression, staring down at a seated scraggly-groomed man wearing a shirt and tie as well as the same badge. The man appears to be talking. On a table beside him is a microphone. In a large window behind him is a serious of decreasingly smaller dolls, in what's implied to be a criminal identification setup.",It's unusual to see a series of dolls being featured as the suspects in a crime.
b0155bae6f1d82e334fe341d58bde66a,NYCC train b0155bae6f1d82e334fe341d58bde66a,I'm struggling to see how all this fits together.,"I got her to open up, but now she's beside herself.",Joke B,crowd_winner,A woman is speaking to a man with many matroyshka dolls. They are in some kind of shop.,The man looks like one of the dolls himself.
bc7474e4f94ef36a1e459d5f2ab05359,NYCC train bc7474e4f94ef36a1e459d5f2ab05359,"Come on Grumpy...Happy was right. Tomorrow, Sunrise Yoga!",Don't tell me. Let me guess. Creepy is behind me.,Joke B,crowd_winner,"Famous fictional character Snow White is playing with the seven dwarfs out in a field. The dwarfs are all wearing roller skates while Snow White is just wearing shoes. Snow white is smiling, as are most of the dwarfs.",The Snow White story is a famous fictional fairy tale but it does not include anything about the dwarfs roller skating so seeing them do so is unexpected and unusual.
0ef626acf92f1ef39b842b08b16ca72c,NYCC train 0ef626acf92f1ef39b842b08b16ca72c,"Go right ahead, call the police. Tell them you just served alcohol to a minor.","If I'm not back at the maze by eight, my wife reels in the damn string.",Joke B,official_winner,A bull or minotaur is at a bar. The bartender looks confused and is going to call someone.,A bull or minotaur is at the bar. Bulls don't drink.
2f5a758077b2d38e47d75b0d3ca01c22,NYCC train 2f5a758077b2d38e47d75b0d3ca01c22,"I apologize sir, but grey poupon is required attire.","Toast of the town or not, you still need a reservation.",Joke B,crowd_winner,A man is taking reservations. A piece of toast wearing a bowtie is looking sad and stares at him.,There is a giant piece of toast wearing a bowtie there making a reservation. Toast can't talk or move.
f7a0cd0093541f385a61d144a6e9b25b,NYCC train f7a0cd0093541f385a61d144a6e9b25b,Now he wants to move into Trump Tower.,Get over yourself... it was ONE mouse!,Joke B,crowd_winner,A fat cat wearing a crown is in a throne. A couple is looking at it. The woman looks concerned.,There is a fat cat wearing a crown on a throne.
714d66da29736f9eff0b91eb5b35c695,NYCC train 714d66da29736f9eff0b91eb5b35c695,We do our best to sugarcoat the whole mileage thing.,Would you believe a kid came up with this?,Joke B,official_winner,"A car manufacturing factory is operating. As cars are moving down the line, a giant nozzle from the ceiling is spraying each car with a giant glob of cream on top.",This is not how cars are made. Cars don't need cream on top of their roof and such giant nozzles are rarely used.
cbd122814bd1c05f52a60dcc2e3b0e60,NYCC train cbd122814bd1c05f52a60dcc2e3b0e60,"It's great to see you, but we can only stay about fifteen seconds.",We couldn't remember if first anniversary gifts were paper or iron.,Joke A,official_winner,A man is carrying a huge bomb into a room. People look at it scared.,"The man is carrying a huge bomb, which is larger than him. It's too heavy to be real."
c2c81f0ebce766e1729a91e44f9a54b8,NYCC train c2c81f0ebce766e1729a91e44f9a54b8,"Son, one day all this will be yours. Except her.",I always wondered how they got the cars into the showroom!,Joke A,official_winner,A giant woman is on a building. A man and boy look at her from the building across.,Women are not taller than 10 feet tall.
e0f5beea4c29ecc7266448cca80cf1bd,NYCC train e0f5beea4c29ecc7266448cca80cf1bd,He had great health insurance.,No one can accuse us of not trying.,Joke A,official_winner,There is a sick man with an IV attached to him in a casket. Two people are mourning him.,There is a person that is still alive in a casket.
54fce4b0fb57cf62444339a969de9df6,NYCC train 54fce4b0fb57cf62444339a969de9df6,"If we can't see him, he can't see us.","Alright, folks, it’s crunch time.",Joke B,official_winner,A bunch of people are having a meeting underneath a desk. Their supplies are still on the table.,People have meetings facing each other and not under a table.
972e89a553f3a0b2c48ebc6a215bad7f,NYCC train 972e89a553f3a0b2c48ebc6a215bad7f,I don't know protocol...should I wait for everone to be awake?,"O.K., counsellor, we heard your argument. Now tell us a story.",Joke B,official_winner,A man is speaking to the Supreme Court. But their booths are all bed.,The justices are laying down in bed.
2262111bfccbac6a3ee748817759f974,NYCC train 2262111bfccbac6a3ee748817759f974,"And then I thought Wow, my cat really is kind of sexy.",Finally with Obamacare pre-existing conditions are covered.,Joke A,official_winner,A man is seen angrily complaining about being shot by multiple arrows. Cupid is beside him with his arms crossed. They are both getting therapy from a therapist who is listening intently.,Someone who is shot by an arrow wouldn't be perfectly fine.
7fac505d972f7e8c8e7b681d34d42b4d,NYCC train 7fac505d972f7e8c8e7b681d34d42b4d,"Well, they’re never late for happy hour.",They are a train wreck waiting to happen.,Joke A,official_winner,Subway trains are sadly drinking at the bar. The bartender is on the phone away from them. A woman sits besides them.,Subway trains do not go out to have drinks and they do not have faces.
07dc49f9783dd3a5278bc5d9a8cf47f4,NYCC train 07dc49f9783dd3a5278bc5d9a8cf47f4,Do you accept insurance estimates?,There's water everywhere,Joke B,official_winner,A woman has been stranded on a small island. A plumber is walking out of the ocean onto the island.,The plumber is out of place since the island doesn't have any plumbing.
8101328f0c3b6b6cabc278514e72cc90,NYCC train 8101328f0c3b6b6cabc278514e72cc90,'Bad news. They found the proof in the pudding.',Is the entire White House staff incarcerated?,Joke A,crowd_winner,There is a woman on a pin phone system in a prison visitation room. She is talking on the phone with a man dressed as a chef on the other side of the window.,It is unusual for a prisoner to be dressed as a chef in a visitation room.
6a7b4ca5b7e213158f92f454b343da00,NYCC train 6a7b4ca5b7e213158f92f454b343da00,Sometimes Jack is better in the box,How's my pallor coming along?,Joke B,official_winner,A woman in a bikini is sunning herself on a beach towel under a striped umbrella on the sand near the ocean. A man is inside a large cardboard box at the corner of her towel.,It's very unusual to see a man in a box on the beach on top of someone's towel.
1e0a5581af1b25525662db717bf4847c,NYCC train 1e0a5581af1b25525662db717bf4847c,This is why she shouldn't be allowed to keep her car in her bedroom.,We should tell the G.P.S. people that they changed the off-ramp.,Joke B,official_winner,A man and woman are in bed together under the covers. They are looking towards the bedroom door when a car has crashed into their home. They don't seem too upset about the situation.,A car has somehow crashed through the ceiling of a house and landed in a bedroom.
c81d0be9db09b58bc101bf771a151dfc,NYCC train c81d0be9db09b58bc101bf771a151dfc,Give me a minute while I slip into something a little less flammable.,"They're beautiful, but could you come back when my father is not home?",Joke A,crowd_winner,A princess of the castle opens her door to a dragon. The dragon has flowers in its hand and waiting as if to propose to the princess.,Dragons are known to terrorize castles and are not polite like seen here.
bcbc2b2e3cd12baaac92cfdad6df9b4e,NYCC train bcbc2b2e3cd12baaac92cfdad6df9b4e,"Typical, stiff in all the wrong places.",Taxidermy saved our marriage.,Joke B,official_winner,A woman is carrying a man like a statue. The man is dressed as a businessman. Both are dressed for work.,The woman is carrying a full size man. She could not do that in real life.
802c8c00431c6ce379954942ce9e64ae,NYCC train 802c8c00431c6ce379954942ce9e64ae,"They think now kryptonite is actually good for you, in small doses.",I can't diagnose your rash like this but I'll play along.,Joke A,official_winner,Superman is in the doctor's office. The doctor is listening to his heartbeat with a stethoscope.,Superman shouldn't be getting sick.
36b5d8df6b0405d2c2540a3109b4c640,NYCC train 36b5d8df6b0405d2c2540a3109b4c640,What turns you off?,I want to see other blenders.,Joke A,crowd_winner,A man and woman is sitting at a dining table with food on the table. Man's head is essentially a blender spinning at high speed and woman is watching that with a confused look.,Most out of place element is the blender on the man's head.
4c27feb2ba343d3ff6f1f580cc43a66c,NYCC train 4c27feb2ba343d3ff6f1f580cc43a66c,Two of you have underlying issues.,After you use the restroom we rotate.,Joke A,crowd_winner,A psychiatrist is in her office. Three people are on stacked couches beside her.,The couches are like bunk beds.
23ad9f5cb7624836e476b89421706dc3,NYCC train 23ad9f5cb7624836e476b89421706dc3,He was deemed a flight risk.,Yes I know why she sings.,Joke A,official_winner,"In a tree, a mother bird is tending to her nest and babies. There is another bird in a cage on an upper branch.",The cage is out of place in a tree.
a5423af560475a4456260c06eb3a61c7,NYCC train a5423af560475a4456260c06eb3a61c7,The laws of physics are really unforgiving.,I thought I told you to wait in the car.,Joke B,official_winner,Some people are standing on the street. The man's car is upside down and missing the top.,The car is in an unusual state.
1236393812d4b6d22c9190c83e4302a1,NYCC train 1236393812d4b6d22c9190c83e4302a1,I feel like I'm still at the office.,The decoys don't seem to be working.,Joke A,official_winner,People are ice fishing. A bunch of sharks are in the ice holes around them.,There are sharks in the ice holes. Sharks are not in these areas since it's too cold.
53cb7c6736daa60b12262478ea92e511,NYCC train 53cb7c6736daa60b12262478ea92e511,I told you I felt a jerk.,Don’t retain it.,Joke B,official_winner,People are fishing. The boy caught a man in a suit.,There is a man in the water wearing a suit and the boy somehow caught him.
6cdda2a081521dbabdd44efa4bb257fa,NYCC train 6cdda2a081521dbabdd44efa4bb257fa,"Pilates works, Carl. What more proof do you need?",It's just not funny if she looks so sexy.,Joke B,official_winner,"Two aliens are discussing a cartoon in an office. The alien who is the owner of the office is a cartoon editor, as evidenced by the writing on the door. They are discussing the validity of a cartoon, which the other alien probably authored, and the editor looks displeased.","The fact that the characters are aliens is odd; this would be a relatively normal scene otherwise. Also, given that this is for the New Yorker cartoon caption contest, the fact that it's being used as a prompt is also a bit meta."
86d982d68715c7575a18255a63ea2a0f,NYCC train 86d982d68715c7575a18255a63ea2a0f,You don't have to explain - you're already viral on You-tube.,They're reducing the carbon footprint at work AGAIN?,Joke A,official_winner,A naked man is coming through a window. A woman on a sofa is shocked and a dog is staring at him angrily.,There is a naked man coming through the window of a house.
509455b0c925c86c8aed021e5a60c160,NYCC train 509455b0c925c86c8aed021e5a60c160,My mother is coming to stay next week.,They don't even bother to give us an ashtray.,Joke A,official_winner,A man and woman are side by side in bed and under the blankets. The woman is smoking a cigarette. The bed they're using is in a jail cell and there are bars on the windows.,The man and woman are together in the jail cell. You're not usually allowed to have men and women in the same cell.
4ef9e2224cd0b341f2bd64b22995ad0c,NYCC train 4ef9e2224cd0b341f2bd64b22995ad0c,It'll be another 30 minutes before she reaches us,We traced the slime trail back to Ted Cruz's house.,Joke B,crowd_winner,"A giant, monstrous snail is attacking a city. A doctor and police officer are bystanders of the situation. The police officer uses his binoculars to see the snail.",Giant snails that size do not exist and snails do not attack cities.
c0cee9cbd821a205e6a32751ed16dcd6,NYCC train c0cee9cbd821a205e6a32751ed16dcd6,"Well, that's embarrassing. How long has it been there?","Sea World has the nerve to call this ""a promotion""?",Joke A,official_winner,Two sharks are facing each other underwater. One of the sharks has a man standing on him.,The shark is not chomping the man.
351c5b0dbcc05db12a51d8a1f231bc53,NYCC train 351c5b0dbcc05db12a51d8a1f231bc53,"When you said on the phone "" I'm Claude"" , I assumed it was your name.",You're soaking those things in drawn butter and lemon the second we get home.,Joke A,crowd_winner,"A couple is walking down the street. The woman looks upset, and the man has colored claws.",The man has lobster claws.
f4fd383100496e2f530db78c153e8e1e,NYCC train f4fd383100496e2f530db78c153e8e1e,And he already has a million followers of his podcast.,"I'd like to start off by saying—thanks for having me, folks!",Joke B,crowd_winner,Two parents are looking in on their baby. The baby is in the crib and has a mic set up next to it.,"Babies don't have the cognizance to sing or speak into a mic, which shouldn't be in a baby's room to begin with."
c26fa88f40ef6043d047487ec747f76c,NYCC train c26fa88f40ef6043d047487ec747f76c,Watch out for the knuckleball.,He's been disinterred and reactivated.,Joke A,official_winner,Some baseball players are on the field discussing the game. Death is coming up to them.,Death is on a baseball field.
1a8e86177d1331732f43de94a698942e,NYCC train 1a8e86177d1331732f43de94a698942e,"When you get the water bill, you're gonna wish we tossed you in the East River!","Normally, I'd dump you in the East River, but it's not safe to leave the house.",Joke B,crowd_winner,In the foreground there is a mobster looking man in a coat and hat with a cigarette hanging out of his mouth. He is looking towards the background at a man who is tied up and standing in a bucket which is inside a tub still filling up with water from a running shower. It appears that the mobster is talking.,It is unusual for a man to be tied up in a bucket which is in a bathtub with a running shower.
